Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,170606_Std_250nMStdsInAqMatrix_2,Heavy Tryptophan,3.04,2935075,0,651933,1.3,Internal Standard
Internal Standard,1700606_Blk_1a,Heavy IAA,4.86,5283302,156940,490762,0.1,Internal Standard
Internal Standard,1700606_Blk_1b,Heavy IAA,4.85,5128880,66728,404119,-0.2,Internal Standard
Internal Standard,1700606_Blk_1c,Heavy IAA,4.87,4284407,56300,425347,-0.1,Internal Standard
Internal Standard,1700606_Blk_2a,Heavy IAA,4.85,3509912,0,307714,-0.1,Internal Standard
Internal Standard,1700606_Blk_2b,Heavy IAA,4.88,3718609,0,306976,-0.1,Internal Standard
Internal Standard,1700606_Blk_2c,Heavy IAA,4.93,4053265,51030,331742,0.2,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full1,Heavy IAA,4.84,4222449,0,523811,0.4,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full2,Heavy IAA,4.83,3912370,0,486880,0.2,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full3,Heavy IAA,4.84,3921178,35917,482276,0.1,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half1,Heavy IAA,4.92,3306563,0,237526,0.1,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half2,Heavy IAA,4.93,1062832,8734,102791,0.3,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half3,Heavy IAA,4.89,1857074,0,234855,0.2,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_1,Heavy IAA,4.92,53919708,912328,10847534,0.4,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_2,Heavy IAA,4.92,54962656,1489584,10998772,0.6,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_3,Heavy IAA,4.92,50111300,1394639,10710919,0,Internal Standard
Internal Standard,170606_Poo_Pro_Full1,Heavy IAA,4.9,50600708,877140,10494702,-0.1,Internal Standard
Internal Standard,170606_Poo_Pro_Full2,Heavy IAA,4.9,52046032,1146141,10415847,-0.2,Internal Standard
Internal Standard,170606_Poo_Pro_Full3,Heavy IAA,4.9,53476856,1324855,10534188,-0.1,Internal Standard
Internal Standard,170606_Poo_Pro_Half1,Heavy IAA,4.92,24976406,290948,5246540,-0.1,Internal Standard
Internal Standard,170606_Poo_Pro_Half2,Heavy IAA,4.9,24607026,517456,5753628,0,Internal Standard
Internal Standard,170606_Poo_Pro_Half3,Heavy IAA,4.9,25211330,668690,5584819,-0.3,Internal Standard
Internal Standard,170606_Smp_Pro9312_A,Heavy IAA,4.91,58607284,1048536,10741561,-0.1,Internal Standard
Internal Standard,170606_Smp_Pro9312_B,Heavy IAA,4.9,55829768,1181348,10873339,-0.3,Internal Standard
Internal Standard,170606_Smp_Pro9312_C,Heavy IAA,4.9,52994300,866796,10865533,0.1,Internal Standard
Internal Standard,170606_Smp_Pro9313_A,Heavy IAA,4.9,52189460,677504,10991517,-0.1,Internal Standard
Internal Standard,170606_Smp_Pro9313_B,Heavy IAA,4.9,50804440,835447,11251974,-0.2,Internal Standard
Internal Standard,170606_Smp_Pro9313_C,Heavy IAA,4.91,52213996,1051603,11457113,-0.3,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_1,Heavy IAA,4.89,5134994,66958,380538,0.3,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_2,Heavy IAA,4.89,6415143,102081,454471,0.2,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_3,Heavy IAA,4.68,2524757,27865,124607,0.2,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_1,Heavy IAA,4.94,6292468,9317,359009,0.1,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_2,Heavy IAA,4.92,5734783,291899,350135,0,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_3,Heavy IAA,4.93,6254787,567725,483913,0.2,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_1,Heavy IAA,4.92,40108516,943059,8263936,0,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_2,Heavy IAA,6.93,4699,0,8383,1.6,Internal Standard
Internal Standard,1700606_Blk_1a,Heavy Phenylalanine,1.1,11172256,0,3519393,0,Internal Standard
Internal Standard,1700606_Blk_1b,Heavy Phenylalanine,1.1,10587765,104100,3255147,-0.1,Internal Standard
Internal Standard,1700606_Blk_1c,Heavy Phenylalanine,1.1,10218336,65045,3230054,0.1,Internal Standard
Internal Standard,1700606_Blk_2a,Heavy Phenylalanine,1.11,9136139,135356,2523932,0.3,Internal Standard
Internal Standard,1700606_Blk_2b,Heavy Phenylalanine,1.11,9002684,0,2511456,0.2,Internal Standard
Internal Standard,1700606_Blk_2c,Heavy Phenylalanine,1.11,8289089,31379,2360019,0.5,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full1,Heavy Phenylalanine,1.11,14659177,211166,5117178,0.5,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full2,Heavy Phenylalanine,1.11,14665565,207191,5159519,0.4,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full3,Heavy Phenylalanine,1.11,14438544,60561,4993066,0.2,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half1,Heavy Phenylalanine,1.12,5771954,54962,1929625,0.3,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half2,Heavy Phenylalanine,1.11,1469282,0,535220,0,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half3,Heavy Phenylalanine,1.11,7808853,0,2984280,0.5,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_1,Heavy Phenylalanine,1.12,23237134,176619,8267499,0.8,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_2,Heavy Phenylalanine,1.11,22513106,107866,7817958,1.2,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_3,Heavy Phenylalanine,1.11,22172774,188485,7902017,0.7,Internal Standard
Internal Standard,170606_Poo_Pro_Full1,Heavy Phenylalanine,1.11,17191294,42454,6107373,0.4,Internal Standard
Internal Standard,170606_Poo_Pro_Full2,Heavy Phenylalanine,1.11,16458979,15594,5914481,0.4,Internal Standard
Internal Standard,170606_Poo_Pro_Full3,Heavy Phenylalanine,1.11,16835942,0,5905752,0.3,Internal Standard
Internal Standard,170606_Poo_Pro_Half1,Heavy Phenylalanine,1.11,9907012,0,3665884,0.6,Internal Standard
Internal Standard,170606_Poo_Pro_Half2,Heavy Phenylalanine,1.11,9930883,36460,3607178,0.3,Internal Standard
Internal Standard,170606_Poo_Pro_Half3,Heavy Phenylalanine,1.11,9389833,34443,3418180,0.5,Internal Standard
Internal Standard,170606_Smp_Pro9312_A,Heavy Phenylalanine,1.11,16726776,516875,5847745,0.3,Internal Standard
Internal Standard,170606_Smp_Pro9312_B,Heavy Phenylalanine,1.11,16892902,0,5801153,0.1,Internal Standard
Internal Standard,170606_Smp_Pro9312_C,Heavy Phenylalanine,1.11,17093092,214538,5991609,0.4,Internal Standard
Internal Standard,170606_Smp_Pro9313_A,Heavy Phenylalanine,1.11,20945720,46514,7631456,0.6,Internal Standard
Internal Standard,170606_Smp_Pro9313_B,Heavy Phenylalanine,1.11,19240202,275344,7006390,0.2,Internal Standard
Internal Standard,170606_Smp_Pro9313_C,Heavy Phenylalanine,1.11,19084104,74808,6936341,0.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_1,Heavy Phenylalanine,1.1,6653922,53037,2093911,0.7,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_2,Heavy Phenylalanine,1.11,4649300,60224,1607054,0.3,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_3,Heavy Phenylalanine,1.1,3607799,0,351705,0.3,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_1,Heavy Phenylalanine,1.11,8556361,20298,2760825,0.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_2,Heavy Phenylalanine,1.1,4160507,0,1311184,-0.1,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_3,Heavy Phenylalanine,1.1,4612834,0,1387274,0.2,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_1,Heavy Phenylalanine,1.1,15060005,0,3277731,0.4,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_2,Heavy Phenylalanine,6.47,65415,0,31698,-3,Internal Standard
Internal Standard,1700606_Blk_1a,Heavy B2,4.22,9566269,30797,3130165,0.1,Internal Standard
Internal Standard,1700606_Blk_1b,Heavy B2,4.23,8963400,42458,3055808,-0.1,Internal Standard
Internal Standard,1700606_Blk_1c,Heavy B2,4.22,8474215,105061,2840161,0.3,Internal Standard
Internal Standard,1700606_Blk_2a,Heavy B2,4.23,6637369,123249,2305575,0.2,Internal Standard
Internal Standard,1700606_Blk_2b,Heavy B2,4.24,6735183,0,2371791,0.4,Internal Standard
Internal Standard,1700606_Blk_2c,Heavy B2,4.23,5840925,13674,1985343,0.5,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full1,Heavy B2,4.22,17471370,249412,6664038,0.6,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full2,Heavy B2,4.22,16980440,177854,7092569,0.5,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full3,Heavy B2,4.22,16322214,0,6593946,0,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half1,Heavy B2,4.23,5682127,54349,2061369,0.5,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half2,Heavy B2,4.23,3123727,16018,1118574,0.1,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half3,Heavy B2,4.23,7718404,104564,3041909,0.4,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_1,Heavy B2,4.23,18738484,187927,7373881,0.7,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_2,Heavy B2,4.23,18507242,169016,7076421,1,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_3,Heavy B2,4.22,19525662,53768,7440998,0.6,Internal Standard
Internal Standard,170606_Poo_Pro_Full1,Heavy B2,4.21,16631578,174616,6704391,0.5,Internal Standard
Internal Standard,170606_Poo_Pro_Full2,Heavy B2,4.22,16367418,214149,6409970,0.3,Internal Standard
Internal Standard,170606_Poo_Pro_Full3,Heavy B2,4.21,16222213,92487,6549154,0.2,Internal Standard
Internal Standard,170606_Poo_Pro_Half1,Heavy B2,4.23,9569347,108865,3892712,0.4,Internal Standard
Internal Standard,170606_Poo_Pro_Half2,Heavy B2,4.21,8547125,135392,3398658,0.7,Internal Standard
Internal Standard,170606_Poo_Pro_Half3,Heavy B2,4.22,8981316,53648,3623987,0.4,Internal Standard
Internal Standard,170606_Smp_Pro9312_A,Heavy B2,4.22,17325854,281835,7050844,0,Internal Standard
Internal Standard,170606_Smp_Pro9312_B,Heavy B2,4.21,17376084,182888,6895550,0.2,Internal Standard
Internal Standard,170606_Smp_Pro9312_C,Heavy B2,4.22,16953680,135345,7331531,0.5,Internal Standard
Internal Standard,170606_Smp_Pro9313_A,Heavy B2,4.22,18024656,285861,7481492,0.4,Internal Standard
Internal Standard,170606_Smp_Pro9313_B,Heavy B2,4.22,17792462,196809,7227569,0.2,Internal Standard
Internal Standard,170606_Smp_Pro9313_C,Heavy B2,4.22,17528946,274871,7025632,0,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_1,Heavy B2,4.23,9138211,105788,3349188,0,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_2,Heavy B2,4.22,7510476,124118,2812875,0.3,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_3,Heavy B2,4.22,7564861,23196,2522451,0.2,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_1,Heavy B2,4.23,9221215,41172,3269527,0.3,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_2,Heavy B2,4.23,6532739,20418,2538531,0.1,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_3,Heavy B2,4.23,5991301,42790,2238078,0.5,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_1,Heavy B2,4.22,14597068,80354,5694245,0.2,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_2,Heavy B2,4.22,81970,0,36245,2,Internal Standard
Internal Standard,1700606_Blk_1a,Heavy Tryptamine,2.34,2265660,0,444995,9.8,Internal Standard
Internal Standard,1700606_Blk_1b,Heavy Tryptamine,2.35,2039073,0,439479,10,Internal Standard
Internal Standard,1700606_Blk_1c,Heavy Tryptamine,2.35,1949852,0,404881,10.2,Internal Standard
Internal Standard,1700606_Blk_2a,Heavy Tryptamine,2.35,1581705,0,296842,9.9,Internal Standard
Internal Standard,1700606_Blk_2b,Heavy Tryptamine,2.36,1238302,0,264355,9,Internal Standard
Internal Standard,1700606_Blk_2c,Heavy Tryptamine,2.35,1317729,0,258540,9.6,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full1,Heavy Tryptamine,2.35,1484815,0,628642,8.1,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full2,Heavy Tryptamine,2.34,2689968,0,674593,10,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full3,Heavy Tryptamine,2.34,2889283,0,722834,10.1,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half1,Heavy Tryptamine,2.35,922138,0,196345,9.7,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half2,Heavy Tryptamine,2.35,46131,0,15920,5,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half3,Heavy Tryptamine,2.36,1029755,0,300326,9.8,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_1,Heavy Tryptamine,2.34,22237664,0,5584119,10.2,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_2,Heavy Tryptamine,2.35,6247278,0,4628771,8.9,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_3,Heavy Tryptamine,2.33,7839759,0,5036032,9.6,Internal Standard
Internal Standard,170606_Poo_Pro_Full1,Heavy Tryptamine,2.33,20668252,6612,4474900,10.2,Internal Standard
Internal Standard,170606_Poo_Pro_Full2,Heavy Tryptamine,2.32,20006894,90384,4522339,10.1,Internal Standard
Internal Standard,170606_Poo_Pro_Full3,Heavy Tryptamine,2.32,18713430,94801,4125728,10.4,Internal Standard
Internal Standard,170606_Poo_Pro_Half1,Heavy Tryptamine,2.35,11930996,104247,2729932,10.4,Internal Standard
Internal Standard,170606_Poo_Pro_Half2,Heavy Tryptamine,2.34,11512485,58409,2648141,10.2,Internal Standard
Internal Standard,170606_Poo_Pro_Half3,Heavy Tryptamine,2.34,10700387,5219,2460311,10.2,Internal Standard
Internal Standard,170606_Smp_Pro9312_A,Heavy Tryptamine,2.33,22854574,0,5105970,10.2,Internal Standard
Internal Standard,170606_Smp_Pro9312_B,Heavy Tryptamine,2.33,21497914,72387,4939972,10.1,Internal Standard
Internal Standard,170606_Smp_Pro9312_C,Heavy Tryptamine,2.33,21789568,511457,5074634,10.2,Internal Standard
Internal Standard,170606_Smp_Pro9313_A,Heavy Tryptamine,2.32,22864704,112625,4975615,10.4,Internal Standard
Internal Standard,170606_Smp_Pro9313_B,Heavy Tryptamine,2.33,21761802,277566,4614157,10.1,Internal Standard
Internal Standard,170606_Smp_Pro9313_C,Heavy Tryptamine,2.33,16659244,373807,4676853,10.2,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_1,Heavy Tryptamine,2.36,700586,0,258737,8.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_2,Heavy Tryptamine,2.34,314263,0,115282,8.8,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_3,Heavy Tryptamine,2.35,144634,0,47647,6.7,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_1,Heavy Tryptamine,2.36,1336148,0,285664,9.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_2,Heavy Tryptamine,2.36,430551,0,100694,9.1,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_3,Heavy Tryptamine,2.36,191932,0,73106,6.2,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_1,Heavy Tryptamine,2.33,20374930,57073,4142085,10.1,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_2,Heavy Tryptamine,2.36,0,0,0,#N/A,Internal Standard
